,DistrictCode,SchoolCode,SchoolName,Longitude,Latitude,County,AllStudents,C_AllStudents,G_Female,GC_Female,G_Male,GC_Male,G_GenderX,GC_GenderX,R_Native,RC_Native,R_Asian,RC_Asian,R_Black,RC_Black,R_Hisp_Lat,RC_Hisp_Lat,R_HPI,RC_HPI,R_NA,RC_NA,R_TwoOrMore,RC_TwoOrMore,R_White,RC_White,L_ELL,LC_ELL,L_NoELL,LC_NoELL,I_LowIncome,IC_LowIncome,I_NoLowIncome,IC_NoLowIncome,D_Disability,DC_Disability,D_NoDisability,DC_NoDisability,A_9,AC_9,A_10,AC_10,A_11,AC_11,A_12,AC_12
395,33212,4206,Kettle Falls High School,-118.05582,48.61074,Stevens,261,0,126,0,135,0,0,0,4,0,2,0,2,0,20,0,0,0,0,0,16,0,217,0,1,0,260,0,156,0,105,0,40,0,221,0,60,0,76,0,61,0,64,0
396,34002,1627,Yelm Extension School,-122.56268899999999,46.882364,Thurston,184,2,106,1,77,1,1,0,0,0,1,0,1,0,45,0,2,0,0,0,17,1,118,1,6,0,178,2,114,1,70,1,18,0,166,2,14,0,24,0,45,1,101,1
397,34002,2633,Yelm High School 12,-122.56268899999999,46.882364,Thurston,1756,77,834,14,910,63,12,0,40,1,36,5,30,2,306,14,35,0,0,0,196,7,1113,48,55,3,1701,74,792,27,964,50,262,5,1494,72,505,29,444,20,423,12,384,16
398,34003,3010,North Thurston High School,-122.832132,47.051945,Thurston,1574,23,756,9,810,13,8,1,18,0,173,2,58,0,349,2,53,1,0,0,211,1,712,17,125,1,1449,22,790,11,784,12,192,2,1382,21,423,11,355,4,405,4,391,4
399,34003,3710,Timberline High School,-122.79939399999999,47.007419,Thurston,1479,58,688,11,779,47,12,0,7,0,94,7,108,2,311,10,43,2,0,0,195,6,721,31,48,0,1431,58,601,17,878,41,182,3,1297,55,379,7,388,16,359,9,353,26
400,34003,4427,River Ridge High School,-122.75191399999999,47.056191,Thurston,1652,15,837,7,813,8,2,0,38,0,142,5,113,1,405,2,54,0,0,0,240,1,660,6,82,0,1570,15,766,6,886,9,196,0,1456,15,442,0,428,2,388,4,394,9
401,34033,1713,Cascadia High School,-122.947778,46.977869,Thurston,152,0,84,0,67,0,1,0,0,0,1,0,6,0,15,0,2,0,0,0,18,0,110,0,0,0,152,0,84,0,68,0,28,0,124,0,1,0,28,0,46,0,77,0
402,34033,3362,Tumwater High School,-122.91593200000001,46.985935999999995,Thurston,1189,76,576,24,613,52,0,0,7,1,22,0,33,5,183,8,3,0,0,0,110,5,831,57,22,2,1167,74,356,25,833,51,124,5,1065,71,286,52,275,7,307,4,321,13
403,34033,3925,Thurs Co Juv Det/Tumwater West E,-122.942659,47.017076,Thurston,72,0,24,0,48,0,0,0,2,0,1,0,1,0,16,0,0,0,0,0,13,0,39,0,0,0,72,0,15,0,57,0,14,0,58,0,19,0,20,0,24,0,9,0
404,34033,4225,New Market Skills Center,-122.91497700000001,46.982238,Thurston,425,22,185,2,236,20,4,0,10,0,8,1,5,0,92,7,4,0,0,0,22,1,284,13,0,0,425,22,129,7,296,15,0,0,425,22,1,0,26,0,172,10,226,12
405,34033,4500,A G West Black Hills High School,-122.947778,46.977869,Thurston,894,61,432,22,462,39,0,0,6,0,37,3,17,1,122,9,5,0,0,0,96,5,611,43,11,1,883,60,307,19,587,42,95,7,799,54,232,33,232,9,226,10,204,9
406,34111,1768,Avanti High School,-122.887627,47.043518,Thurston,203,0,102,0,95,0,6,0,1,0,1,0,4,0,28,0,0,0,0,0,12,0,157,0,0,0,203,0,78,0,125,0,28,0,175,0,45,0,37,0,63,0,58,0
407,34111,3132,Olympia High School,-122.88468600000002,47.017326000000004,Thurston,1922,113,880,28,1020,83,22,2,5,0,178,18,39,3,211,7,16,1,0,0,188,12,1285,72,41,2,1881,111,410,13,1512,100,185,6,1737,107,505,38,429,24,482,18,506,33
408,34111,3960,Capital High School,-122.93565600000001,47.050557,Thurston,1443,88,652,6,765,80,26,2,25,0,96,4,57,3,231,14,12,0,0,0,141,10,881,57,55,5,1388,83,561,42,882,46,199,15,1244,73,383,40,381,24,347,16,332,8
409,34307,2468,Rainier Senior High School,-122.661394,46.873509000000006,Thurston,269,0,132,0,137,0,0,0,4,0,5,0,0,0,39,0,1,0,0,0,19,0,201,0,3,0,266,0,120,0,149,0,35,0,234,0,72,0,62,0,78,0,57,0
410,34401,1735,H.e.a.r.t. High School,-123.09636699999999,46.82217,Thurston,62,0,29,0,33,0,0,0,1,0,1,0,0,0,12,0,0,0,0,0,5,0,43,0,0,0,62,0,38,0,24,0,6,0,56,0,14,0,7,0,20,0,21,0
411,34401,4326,Rochester High School,-123.043365,46.798921,Thurston,655,15,304,2,350,13,1,0,10,0,8,0,4,0,156,3,0,0,0,0,60,2,417,10,47,1,608,14,328,8,327,7,100,0,555,15,170,10,169,1,158,1,158,3
412,34402,3509,Tenino High School,-122.849451,46.84275,Thurston,425,0,187,0,238,0,0,0,9,0,0,0,5,0,36,0,1,0,0,0,17,0,357,0,3,0,422,0,210,0,215,0,66,0,359,0,110,0,110,0,92,0,113,0
413,35200,3467,Wahkiakum High School,-123.334899,46.214628000000005,Wahkiakum,184,6,92,2,92,4,0,0,2,0,2,0,0,0,17,0,2,0,0,0,8,1,153,5,6,0,178,6,108,4,76,2,38,3,146,3,36,1,49,2,54,0,45,3
414,36140,3468,Walla Walla High School,-118.31656699999999,46.045362,Walla Walla,1744,73,836,15,898,58,10,0,7,0,33,3,16,0,709,19,5,0,0,0,57,5,917,46,146,0,1598,73,858,28,886,45,218,2,1526,71,438,15,432,36,452,9,422,13
415,36140,4071,Lincoln High School,-118.33734399999999,46.059427,Walla Walla,206,0,93,0,109,0,4,0,6,0,3,0,1,0,69,0,0,0,0,0,6,0,121,0,17,0,189,0,153,0,53,0,56,0,150,0,56,0,61,0,62,0,27,0
416,36300,2160,Touchet Elem & High School,-118.67232,46.041090000000004,Walla Walla,75,8,30,3,45,5,0,0,0,0,0,0,1,0,36,5,0,0,0,0,1,1,37,2,13,2,62,6,38,4,37,4,13,1,62,7,15,0,18,4,17,4,25,0
417,36400,4049,Columbia High School,-119.008591,46.199484000000005,Walla Walla,232,0,113,0,119,0,0,0,2,0,2,0,5,0,103,0,0,0,0,0,6,0,114,0,36,0,196,0,140,0,92,0,29,0,203,0,67,0,60,0,61,0,44,0
418,36401,2386,Waitsburg High School,-118.15328999999998,46.27042,Walla Walla,88,0,46,0,42,0,0,0,1,0,1,0,1,0,12,0,0,0,0,0,3,0,70,0,2,0,86,0,47,0,41,0,9,0,79,0,25,0,22,0,23,0,18,0
419,36402,3575,Prescott High School,-118.455541,46.354972,Walla Walla,73,2,40,0,33,2,0,0,0,0,0,0,0,0,63,2,0,0,0,0,0,0,10,0,19,0,54,2,70,2,3,0,14,0,59,2,23,0,20,0,17,1,13,1
420,37501,1647,Options High School,-122.470979,48.757448,Whatcom,269,3,147,0,110,3,12,0,9,0,2,0,4,0,50,0,2,0,0,0,17,0,185,3,4,0,265,3,153,1,116,2,80,1,189,2,54,0,48,0,88,1,79,2
421,37501,1799,Visions (Seamar Youth Center),-122.470979,48.757448,Whatcom,38,0,36,0,1,0,1,0,0,0,0,0,2,0,5,0,1,0,0,0,6,0,24,0,2,0,36,0,15,0,23,0,9,0,29,0,5,0,15,0,9,0,9,0
422,37501,2553,Bellingham High School,-122.47408200000001,48.756646999999994,Whatcom,1244,61,550,12,679,49,15,0,12,0,36,4,16,0,222,10,2,0,0,0,94,5,862,42,53,1,1191,60,419,12,825,49,167,2,1077,59,284,8,313,18,330,15,317,20
423,29801,3420,Whatcom Co Detention Center,-122.48010900000001,48.75444,Whatcom,26,0,6,0,20,0,0,0,2,0,0,0,1,0,7,0,0,0,0,0,2,0,14,0,0,0,26,0,0,0,26,0,8,0,18,0,7,0,8,0,7,0,4,0
424,37501,3576,Sehome High School,-122.480153,48.727389,Whatcom,1209,44,545,10,649,34,15,0,8,0,74,9,24,0,144,1,3,0,0,0,92,3,864,31,37,1,1172,43,312,7,897,37,149,0,1060,44,286,5,323,11,292,11,308,17
425,37501,4515,Squalicum High School,-122.423317,48.78418,Whatcom,1304,56,605,6,684,49,15,1,10,1,120,4,21,0,304,8,1,0,1,0,111,4,736,39,126,5,1178,51,509,16,795,40,222,9,1082,47,323,10,321,21,340,12,320,13
426,37502,2488,Ferndale High School,-122.60856100000001,48.861113,Whatcom,1389,61,662,16,713,45,14,0,85,3,67,6,23,2,332,13,7,1,0,0,88,3,787,33,102,3,1287,58,665,37,724,24,203,12,1186,49,375,22,328,9,344,12,342,18
427,37503,3136,Blaine High School,-122.737224,48.993598999999996,Whatcom,668,0,317,0,350,0,1,0,7,0,35,0,8,0,107,0,5,0,0,0,60,0,446,0,19,0,649,0,307,0,361,0,83,0,585,0,174,0,155,0,171,0,168,0
